naam,bouwjaar,kunstenaar,locatie,latitude,longitude,omschrijving,eigendom,bron,url
"Wapen (met spreuk 'Sine Cura')","1958","Jac Maris","Van Berchenstraat 31",51.8450589,5.85914622,"Deze gevelsteen bevindt zich naast de voordeur van een vooroorlogs woonhuis. 
De spreuk Sine Cura betekent 'zonder zorgen' en is ongetwijfeld een inspiratiebron voor de familie die hier ooit woonde.","particulier","www.marishuis.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=143"
"Fabeldieren","1958","Joop Goldenbeld","Sint Hubertusstraat 2",51.8292052,5.84658460,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=144"
"Spelende kinderen","1956","Albert Meertens","Professor Huijbersstraat 3",51.8310300,5.86863019,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=146"
"Dubbelkoppige adelaar","1958","Han Rädecker","In depot",51.8485194,5.86875431,"Dit kunstwerk verbeeldt het stedelijk wapen van Nijmegen. De dubbelkopige adelaar is een verwijzing naar de vrije rijksstad. De kunstenaar Han Rädecker heeft de adelaars enigzins geabstraheerd weergegeven, staand op een sokkel met cannelures.  

De gemeente Nijmegen heeft het beeld in 1958 aangekocht. Aanvankelijk hing het tegen het Groene Balkon, dat ongeveer vier jaar hiervoor als onderdeel van een stedenbouwkundig plan was voltooid in het kader van de wederopbouw. In 1988 werd de dubbelkoppige adelaar verplaatst naar de Veerpoorttrappen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=147"
"Adelaar","1958","Frans Coppelmans","Professor Huijbersstraat 3",51.831115,5.869665,"Dit beeld, 'Adelaar' genaamd, lijkt te zijn opgebouwd uit losse, abstracte onderdelen die in elkaar geschoven zijn. Met elkaar vormen ze een driedimensionaal beeld, waarin de vogel is te herkennen. Van welke kant je het beeld ook bekijkt, elke keer is er een andere beweging te zien.

Het betonnen beeld is gegoten. Net zoals het gieten van brons, is dit een arbeidsintensief proces.
Eerst wordt het beeld in klei gemaakt. Als het beeld klaar is en uitgehard, wordt er een bekisting omheen geplaatst. Het model van klei wordt vervolgens omgoten met gips. Als het gips hard is, wordt het beeld van klei eruit gekapt en geplukt. In de 'tegenmal' die zo ontstaan is, wordt beton gegoten, vaak met wapening. Als de beton hard is, wordt het gips verwijderd. En is een betonnen beeld ontstaan.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=148"
"Monument voor de burgerslachtoffers van de Tweede Wereldoorlog","1959","Mari Andriessen","Sint Stevenskerkhof",51.8480095,5.86205887,"Aan de voet van de toren van de Sint Stevenskerk bevindt zich dit monument, dat verwijst naar de Tweede Wereldoorlog. Het kalkstenen beeld van de Haarlemse beeldhouwer Mari Andriessen stelt een vliegende engel voor. De engel voert een overleden kind met zich mee. Het monument gedenkt alle burgerslachtoffers van deze oorlog.
Het onderschrift luidt:
'TER NAGEDACHTENIS
AAN DE NIJMEEGSE BURGERS
VOOR EN NA DE BEVRIJDING VAN HUN STAD 
ALS WEERLOZE SLACHTOFFERS VAN HET OORLOGSGEWELD
UIT HET LEVEN GERUKT
1940-1945'

In 1955 gaf de gemeente Nijmegen Andriessen de opdracht om dit monument te maken.
Oorspronkelijk was het de bedoeling dat dit beeld op Plein 1944 zou komen. Echter daar stond het beeld van Jac Maris, het monument voor de gevallen soldaten.  Dit zou naar de omgeving van het Valkhof verhuizen. Dit plan is echter nooit gerealiseerd. Daarom werd het monument van Andriessen eerst enige tijd in een plantsoen aan de Stikke Hezelstraat ondergebracht. Aan het eind van de jaren zeventig is het verplaatst naar het Sint Stevenskerkhof waar het zich nog steeds aan de voet van de Sint Stevenstoren bevindt.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=149"
"Man met vogel","1959","Gerard Bruning","Kapittelweg 35",51.825806,5.867726,"'Man met vogel' is in 1959 door Gerard Bruning gemaakt voor de toenmalige kweekschool. Het beeld is in brons gegoten en ruim 2 meter hoog. De betonnen sokkel van een meter is vervangen door een bescheidener grondplaat, maar die is dan ook weer hoog tegen de muur boven de hoofdingang geplaatst. 
Ieder jaar poseren de afgestudeerde studenten voordat zij voorgoed uitvliegen bij de hoofdingang onder het beeldhouwwerk.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=151"
"Buste W.F.W. van de Wagt 1884-1957","1959","Pieter d'Hont","Parkdwarsstraat 34",51.8465220,5.85921135,"Aan weerszijden van de Parkdwarsstraat strekt zich het in 1958-1959 gebouwde bejaardencomplex Huize Doddendaal uit. Aan het uiteinde van het plantsoentje, dat temidden van het complex ligt, staat een kleine galerij, met daarin een buste van W.F.W van de Wagt.
De in 1884 in Nijmegen geboren Van der Wagt was achtereenvolgens aannemer, wethouder Openbare Werken en voorzitter van Woningvereniging Nijmegen.
De relatie tussen Van der Wagt en Huize Doddendaal is tot op heden niet bekend.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=152"
"Roeibootje met kinderen","1959","Ed van Teeseling","Berg en Dalseweg 295",51.8349493,5.89052793,"In een interview vertelt Ed van Teeseling hoe dit beeld tot stand kwam. 'Ik heb bij dit gebouw aan de Berg en Dalseweg natuurlijk eerst gekeken naar de architectuur van het pand en de lichte glooiing van de weg. Het beeld zou een onderstreping moeten zijn van het brede gebouw en dus meer in de breedte dan in de hoogte moeten werken. Het ritme van de zigzaglijnen van het water vult die werking nog eens aan'. 

Omdat in het pand destijds een basisschool gehuisvest was, moest de voorstelling iets met kinderen te maken hebben. Ed van Teeseling: 'Je ziet dat het ene jongetje vóór in de boot er flink aan moet trekken, terwijl zijn vriendje achterin zich een beetje laat meevoeren. Zo gaat het op school ook: iedereen komt er wel, maar de een moet er meer voor doen dan de ander.' 
Van dichtbij zie je duidelijk de krachtsinspanning van de een en de ontspannen houding van de ander. Dit beeldhouwwerk vraagt dan ook om van dichtbij bekeken te worden. Het beeld is gehakt uit kalksteen.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=154"
"Christus Monogram","1959","Jan Vaes","Molenstraat 37 (Petrus Canisiuskerk)",51.8449661,5.86331998,"Omdat de achterste helft van de Petrus Canisiuskerk na de Tweede Wereldoorlog nog overeind stond, bleef de nieuwbouw beperkt tot de voorbouw.
De nieuwe voorgevel is door een team van beeldend kunstenaars uitgedost als een kostbaar reliekschrijn.
De vloer is ingelegd met mozaïek. Gebeeldhouwde vissen geven reliëf aan de natuurstenen blokken. De kleine ramen zijn bezet met kleurrijk glas-in-beton.
Tussen de zuilen hangt het bronzen Christusmonogram met het alpha en omega teken van de kunstenaar Jan Vaes. De Mariakapel en de doopkapel zijn als zelfstandige gebouwtjes in het portaal geplaatst. Ook de gevel van de Mariakapel is ontworpen door Jan Vaes.","particulier","Leon van Meijel, 'De weelde van de soberheid', Nijmegen 2004","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=155"
"Gevel Mariakapel","1959","Jan Vaes","Molenstraat 37 (Petrus Canisiuskerk)",51.8450450,5.86336479,"Omdat de achterste helft van de Petrus Canisiuskerk na de Tweede Wereldoorlog nog overeind stond, bleef de nieuwbouw beperkt tot de voorbouw.
De nieuwe voorgevel is door een team van beeldend kunstenaars uitgedost als een kostbaar reliekschrijn.
De vloer is ingelegd met mozaïek. Gebeeldhouwde vissen geven reliëf aan de natuurstenen blokken. De kleine ramen zijn bezet met kleurrijk glas-in-beton.
Tussen de zuilen hangt het bronzen Christusmonogram met het alpha en omega teken van de kunstenaar Jan Vaes. De Mariakapel en de doopkapel zijn als zelfstandige gebouwtjes in het portaal geplaatst. Ook de gevel van de Mariakapel is ontworpen door Jan Vaes.","particulier","Leon van Meijel, 'De weelde van de soberheid', Nijmegen 2004","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=160"
"'Vervult u met de vruchten die ik draag'","1956","Marius van Beek","Wilhelminasingel 15",51.8404495,5.86440684,"Dit reliëf in steen is 3 meter hoog en het is bevestigd aan de gevel van de Wilhelminaschool aan de Wedren.
Het stelt kinderen voor, die op een ladder in een boom klimmen om vruchten te plukken. Een zuster staat beneden met een grote mand. De ladder stelt het onderwijs voor met de treden die men moet beklimmen.","particulier","www.mariusvanbeek.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=162"
"Moeder Gods","1960","Jan van Eijk","Kroonstraat 148",51.8470423,5.85939601,"Deze mozaïekvoorstelling van Maria en Kind is van de kunstenaar J.van Eijk. Ze behoort tot de monumentale kunst uit de wederopbouwperiode (1946-1965). In deze periode werkten architecten regelmatig samen met kunstenaars. Daardoor werden kunstwerken vaak mooi opgenomen in onderdelen van gebouwen.

Het mozaïek bevindt zich boven de ingang van de Titus Brandsmakapel. Hij ligt aan het einde van de as die rechtstreeks voert naar het heiligdom van de kapel. Van dezelfde kunstenaar is de schildering van Christus op de achterwand.

De kapel staat op de plek waar de karmeliet Brandsma tijdens de oorlog door de Duitse bezetter werd opgepakt.
Hij werd vermoord in 1942 in concentratiekamp Dachau.
De architectuur van de kapel verwijst impliciet naar het kamp, de barak en de gevangeniscel van Titus Brandsma.
De 12,5 meter hoge pyloon (steuntoren) vóór de kapel verwijst naar de wachttoren van het kamp.
Tussen de palen is een bronzen plastiek opgehangen waarvan de vorm lijkt op een mitrailleur (kunstenaar Frans Verhaak). 

Jan van Eijk (1927-1988) was als kunstenaar autodidact. Na een opleiding tot instrumentenmaker in Eindhoven ontwikkelde hij zich als tekenaar en schilder. 
Als monumentaal kunstenaar vervaardige hij voor diverse Nederlandse kerken ramen, mozaïeken en wandschilderingen.","particulier","www.nijmegen.nl/monumenten","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=163"
"Zending der apostelen","1960","Gerard Mathot","Sionsweg 2",51.8122832,5.88462307,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=164"
"Geveldecoratie","1960","Piet Schoenmakers","Batavierenweg 2 t/m 68",51.8452301,5.87635642,"Deze geveldecoratie bestaat uit drie elementen: een voorstelling van een gezin, een afbeelding met twee vissen en een medaillon met de voorstelling van een schip op zee met de tekst 'Vigilate deo confidentes'.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=166"
"Geveldecoratie","1960","Piet Schoenmakers","Batavierenweg 70 t/m 136",51.8446855,5.87698224,"Deze geveldecoratie bestaat uit drie elementen: een voorstelling van spelende kinderen, een afbeelding van een vogel en een compositie met de lettercombinatie AFGN.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=167"
"Nils Holgersson","1960","Ed van Teeseling","Energieweg 93",51.837254,5.816504,"Deze sculptuur van Ed van Teeseling bij het Dominicuscollege stelt de hoofdpersoon voor uit het beroemde boek 'Nils Holgerssons wonderbare reis' van Selma Lagerlöf uit 1906. 
Na de renovatie van de school, is het beeld in de vijver voor de school geplaatst.

De familie Holgersson woont in Zweden op een boerderij. Daar groeit hun enige zoon Nils op, die ervan houdt om dieren te plagen en te sarren. Als hij op een dag een kabouter vangt en weigert die weer vrij te laten, spreekt deze een betovering uit over Nils, die zo klein wordt als een duim. Vervolgens beleeft hij allerlei spannende avonturen waardoor hij  leert respect te hebben voor de wereld van de dieren.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=170"
"Vier Kerkvaders","1961","Giuseppe Roverso","Sint Stevenskerkhof 2",51.847620,5.862954,"De vier kerkvaders hebben een belangrijke rol gespeeld in de ontwikkeling van het christelijke geloof. Het Christendom werd door keizer Constantijn in 313 verklaard tot officiële godsdienst van het Romeinse Rijk. Daarvoor was het belijden van het christelijke geloof in het openbaar niet toegestaan.

De vier kerkvaders zijn Ambrosius, Augustinus, Gregorius en Albertus Magnus. Zij stonden aan de wieg van de verbreiding van het christelijke geloof aan het begin van de Middeleeuwen. Naast de vier kerkvaders zijn aan de gevel van de Latijnse School ook de 12 apostelen afgebeeld. 

In 1215 besloot de paus dat de kerk zich moest inzetten op het gebied van onderwijs. Het eerste schooltje in Nijmegen stond dichtbij het Kelfkensbos. Bij de inwijding van de Sint Stevenskerk verhuisde deze Latijnse School naar de huidige plek. Het is één van de oudste gebouwen van Nijmegen. In 1544 werd de school volledig verbouwd. Tegenwoordig wordt er echter geen les meer gegeven, maar is er een architectenbureau gevestigd.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=176"
"Kind op bank","1961","Ed van Teeseling","Hengstdal Ubbergen (voorplein Sint Maartenskliniek)",51.8330941,5.89930726,"Op ongeveer tweehonderd meter afstand van elkaar staan drie kunstwerken van kunstenaar Ed van Teeseling. 'Pegasus' op de Berg en Dalseweg vlak voor de afslag naar de Sint Maartenskliniek, 'Roeibootje met twee kinderen' voor de school op de Berg en Dalseweg en dit werk: 'Kind op een bank'. Het is uitgevoerd in hardsteen.
Het is een meisjesfiguur met kort haar. Ze zit op een bankje dat aan een kant omhoog loopt. Het meisje zit in gedachten verzonken.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=177"
"Michaël met de draak","1961","Henk de Groot","Heemraadstraat 2",51.8122354,5.86049753,"De naam van de aartsengel Michaël (Sint-Michiel) komt voor in zowel het Oude als het Nieuwe Testament en ook in de Koran. Daarom heeft Michaël voor zowel Joden, Christenen en Moslims een heilige betekenis.

In het boek Openbaring van Johannes (12: 7-12) voert Michaël oorlog tegen de draak.Hij is de aanvoerder der engelen, de overwinnaar van boze machten, beschermheer van de Christenen. In het latere volksgeloof is hij de begeleider van de zielen die gestorven zijn op hun weg naar de hemel. 

Michaël is de patroon van de wapendragers, en vanwege zijn weegschaal ook die van de bakkers, de weegmeesters en de apothekers en verder van de ambulanciers, de artiesten, de bankiers, de stervenden, de kruideniers, de paramedici, de zieken, de armen, de zwaardsmeden, de ruiters, de soldaten, de politiemannen, de hoedenmakers, de blik- en tingieters, de wagenmakers, de radiomechanici, de snijders, de glazenmakers en de schilders.","particulier","www.wikipedia.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=179"
"Vier mozaïeken","1962","Onbekend","Treubstraat",51.808012,5.827444,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=181"
"Apostelcyclus","2017","Giuseppe Roverso","Sint Stevenskerkhof 2",51.8476884,5.86287403,"Op de gevel van de voormalige Latijnse School zijn de twaalf apostelen afgebeeld. De apostelen waren de leerlingen van Jezus. Hun namen zijn te vinden in de inscriptie onder hun voeten. De apostelen zagen het als hun taak om na zijn dood zijn leer te verspreiden.   
Naast de apostelen zijn aan de gevel van de Latijnse School ook de vier kerkvaders afgebeeld.

In 1215 besloot de paus dat de kerk zich moest inzetten op het gebied van onderwijs. Het eerste schooltje in Nijmegen stond dichtbij het Kelfkensbos. Bij de inwijding van de Sint Stevenskerk verhuisde deze Latijnse School naar deze plek. Het is één van de oudste gebouwen van Nijmegen. In 1544 werd de school volledig verbouwd. Tegenwoordig wordt er echter geen les meer gegeven, maar is er een architectenbureau gevestigd.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=185"
"Mercurius","1962","Ed van Teeseling","Depot",51.818154,5.817281,"Mercurius werd bij een herinrichting van de omgeving verwijderd en wacht nu op herplaatsing. 

In september 1961 kreeg Ed van Teeseling de opdracht om een groot beeldhouwwerk te maken ter verfraaiing van de nieuwe Katholieke Vormingsschool voor de Detailhandel, die op de Goffertweg werd gebouwd. Hij koos als onderwerp de Romeinse God Mercurius, die te vergelijken is met de Griekse Hermes (de bode van de goden). Mercurius was de boodschapper van de goden en werd vanuit die rol de patroon van de handelaren. Van Teeseling maakte een Mercurius die, zoals het een jonge God betaamt, dynamisch komt aanvliegen. Mercurius wijkt echter af van de klassieke, traditionele afbeelding. Hij heeft wel een gevleugelde helm, maar geen gevleugelde schoenen en ook geen caduceus (= het stafje met de vleugels en de twee verstrengelde slangen). 

De kunstenaar polijst het lichaam verder niet, maar bewerkt het  met een speciale hamer, zodat het ruwe oppervlak het licht kan vangen. Daarmee krijgt het beeld een expressieve uitstraling. Het is een beeld dat - met zijn 4.60 m lengte - aansluit bij de breedte van het gebouw. Het lijkt alsof de figuur boven het gebouw zweeft. De kunstenaar maakte een venster in een rechthoekige vorm van beton. Dat maakte de ophanging van het beeld mogelijk. Tegelijkertijd wekt het de indruk alsof Mercurius door het venster komt binnenvliegen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=187"
